age,income,gender,time_spent,preferred_platform,interests,demographics,posts_per_week,exercise_hours
51,94413,female,4.5,Facebook,Sports,Suburban,7,5.5
64,87851,female,1.0,Facebook,Technology,Urban,14,8.0
41,68087,female,4.5,Instagram,Food,Rural,1,10.0
27,30988,male,5.0,Instagram,Music,Urban,3,7.0
55,79214,non-binary,1.0,Instagram,Sports,Rural,11,4.5
20,28156,male,4.5,Twitter,Food,Suburban,12,1.0
33,58602,male,3.0,Twitter,Sports,Urban,4,9.5
51,98901,female,4.5,Snapchat,Sports,Urban,13,9.5
31,31682,male,3.0,Instagram,Art,Suburban,0,5.5
35,72196,male,3.0,Snapchat,Technology,Rural,5,0.0
23,28698,male,1.0,Instagram,Art,Urban,1,0.0
23,20626,male,4.0,Facebook,Fashion,Urban,13,4.5
36,47424,male,1.5,Twitter,Technology,Suburban,4,8.5
65,42857,non-binary,3.5,Twitter,Sports,Suburban,14,7.0
48,94923,male,2.5,TikTok,Food,Urban,5,0.5
52,69982,female,1.5,Snapchat,Music,Suburban,10,8.0
36,51425,female,0.5,TikTok,Technology,Suburban,7,3.5
15,16980,female,4.0,TikTok,Fashion,Urban,8,10.5
34,45522,male,1.5,Twitter,Sports,Urban,12,10.5
65,56431,female,1.0,Twitter,Music,Urban,14,4.0
14,18056,female,0.5,Twitter,Technology,Suburban,11,10.0
36,57175,female,2.0,TikTok,Art,Suburban,5,9.5
56,88651,female,4.0,Snapchat,Art,Suburban,4,5.0
42,66385,female,1.5,Facebook,Technology,Urban,11,2.5
50,88158,male,0.5,Snapchat,Technology,Urban,3,6.5
14,21635,female,2.0,Facebook,Technology,Rural,1,0.0
33,48639,female,4.5,Instagram,Music,Urban,1,3.0
45,69994,female,0.5,Facebook,Art,Suburban,6,4.0
24,16607,non-binary,1.0,Twitter,Food,Suburban,4,5.0
34,51563,male,4.5,TikTok,Fashion,Urban,6,7.5
56,79341,non-binary,1.0,Instagram,Fashion,Urban,12,9.0
37,45776,male,1.5,Facebook,Sports,Urban,10,0.5
61,76444,male,3.5,Instagram,Travel,Urban,0,7.0
39,43380,male,1.5,Twitter,Food,Suburban,0,1.0
54,58711,male,4.5,Instagram,Art,Urban,4,1.5
40,48782,female,3.0,Instagram,Sports,Urban,1,9.5
28,47434,male,1.5,Facebook,Sports,Suburban,7,10.5
27,43997,male,4.5,Instagram,Technology,Urban,13,3.0
59,60017,female,0.5,Instagram,Travel,Suburban,14,5.5
63,70707,female,5.0,Snapchat,Art,Urban,2,1.5
56,79110,female,1.5,Facebook,Travel,Urban,0,4.5
64,57343,female,0.5,Twitter,Food,Urban,12,2.5
15,21059,female,1.0,Facebook,Travel,Urban,1,10.5
49,91652,male,4.0,Instagram,Sports,Rural,9,6.5
63,45655,male,3.5,Instagram,Travel,Suburban,9,1.0
19,27091,female,1.0,Snapchat,Travel,Urban,6,8.0
33,50857,male,1.0,TikTok,Fashion,Urban,5,5.0
21,17946,female,4.5,TikTok,Art,Urban,11,4.5
51,65251,male,3.0,Twitter,Art,Urban,7,10.0
30,54109,male,2.5,Instagram,Sports,Urban,6,4.5
16,15526,female,5.0,Snapchat,Music,Suburban,13,4.5
37,43224,female,3.0,Twitter,Travel,Rural,9,1.0
26,45069,female,4.5,Facebook,Travel,Urban,12,7.0
62,51536,female,3.5,Snapchat,Technology,Suburban,7,8.0
21,27157,male,5.0,Instagram,Art,Rural,2,8.5
38,53547,male,5.0,Facebook,Travel,Urban,5,9.0
65,64531,female,4.5,Instagram,Art,Rural,12,9.0
14,23712,female,2.0,Instagram,Travel,Suburban,6,5.5
